grade,similarity_percentage,gene_code,virus_name,gene_name,host_name,virus_lineage,host_lineage
-21.0,0.17857142857142858,YP_008531242.1,Mycobacterium phage Bane1,hypothetical protein,Mycobacteriaceae,"Viruses; dsDNA viruses, no RNA stage; Caudovirales; Siphoviridae; Bclasvirinae; Coopervirus; Mycobacterium virus Bane1",Bacteria; Actinobacteria; Actinobacteria; Corynebacteriales
-56.0,0.16265060240963855,YP_009006775.1,Staphylococcus phage phiSA12,"virion component, putative tail fiber",Staphylococcus aureus,"Viruses; dsDNA viruses, no RNA stage; Caudovirales; Myoviridae; Spounavirinae; Kayvirus; Staphylococcus virus SA12",Bacteria; Firmicutes; Bacilli; Bacillales; Staphylococcaceae; Staphylococcus
-16.0,0.18686868686868688,YP_004893851.1,Salmonella phage PVP-SE1,putative tail fiber assembly protein,Salmonella,"Viruses; dsDNA viruses, no RNA stage; Caudovirales; Myoviridae; Vequintavirinae; Se1virus; Salmonella virus SE1",Bacteria; Proteobacteria; Gammaproteobacteria; Enterobacterales; Enterobacteriaceae
-119.0,0.06097560975609756,YP_009223693.1,Salmonella phage 19,baseplate wedge tail fiber connector,Salmonella,"Viruses; dsDNA viruses, no RNA stage; Caudovirales; Myoviridae; unclassified Myoviridae",Bacteria; Proteobacteria; Gammaproteobacteria; Enterobacterales; Enterobacteriaceae
-40.0,0.1524390243902439,YP_009097867.1,Citrobacter phage Miller,proximal tail fiber subunit,Citrobacter,"Viruses; dsDNA viruses, no RNA stage; Caudovirales; Myoviridae; Tevenvirinae; Kp15virus; unclassified Kp15virus",Bacteria; Proteobacteria; Gammaproteobacteria; Enterobacterales; Enterobacteriaceae
-28.0,0.21022727272727273,YP_009191789.1,Delftia phage IME-DE1,tail fiber protein,Delftia sp. 670,"Viruses; dsDNA viruses, no RNA stage; Caudovirales; Podoviridae; Autographivirinae; T7virus; unclassified T7virus",Bacteria; Proteobacteria; Betaproteobacteria; Burkholderiales; Comamonadaceae; Delftia
-36.0,0.15060240963855423,AIT74882.1,Enterobacteria phage RB33,long tail fiber distal subunit,Escherichia coli B,"Viruses; dsDNA viruses, no RNA stage; Caudovirales; Myoviridae; Tevenvirinae; T4virus; unclassified T4virus",Bacteria; Proteobacteria; Gammaproteobacteria; Enterobacterales; Enterobacteriaceae; Escherichia
-26.0,0.17159763313609466,YP_006986536.1,Cronobacter phage vB_CsaM_GAP161,hinge connector of long tail fiber proximal connector,Cronobacter sakazakii,"Viruses; dsDNA viruses, no RNA stage; Caudovirales; Myoviridae; Tevenvirinae; Kp15virus; unclassified Kp15virus",Bacteria; Proteobacteria; Gammaproteobacteria; Enterobacterales; Enterobacteriaceae; Cronobacter
-18.0,0.17708333333333334,YP_009032394.1,Enterobacteria phage 9g,tail fiber assembly protein,Escherichia coli,"Viruses; dsDNA viruses, no RNA stage; Caudovirales; Siphoviridae; Nonagvirus; Escherichia virus 9g",Bacteria; Proteobacteria; Gammaproteobacteria; Enterobacterales; Enterobacteriaceae; Escherichia
-25.0,0.17575757575757575,AIX15078.1,Synechococcus phage ACG-2014a,putative short tail fiber,Synechococcus,"Viruses; dsDNA viruses, no RNA stage; Caudovirales; Myoviridae; Tevenvirinae; unclassified Tevenvirinae",Bacteria; Cyanobacteria; Synechococcales; Synechococcaceae
-13.0,0.17222222222222222,AIZ01323.1,Mycobacterium phage ADLER F1725,hypothetical protein,Mycobacteriaceae,"Viruses; dsDNA viruses, no RNA stage; Caudovirales; Siphoviridae; unclassified Siphoviridae; Mycobacterium phage Adler",Bacteria; Actinobacteria; Actinobacteria; Corynebacteriales
-34.0,0.1927710843373494,AGE61250.1,Streptococcus phage phiST1,hypothetical protein,Streptococcus suis ST1,"Viruses; dsDNA viruses, no RNA stage; Caudovirales; Podoviridae; unclassified Podoviridae; Escherichia phage phi191 sensu lato",Bacteria; Firmicutes; Bacilli; Lactobacillales; Streptococcaceae; Streptococcus
-38.0,0.21511627906976744,YP_001111225.1,Burkholderia virus phiE255,"gp25, tail fiber",Burkholderia thailandensis,"Viruses; dsDNA viruses, no RNA stage; Caudovirales; Myoviridae; Bcepmuvirus",Bacteria; Proteobacteria; Betaproteobacteria; Burkholderiales; Burkholderiaceae; Burkholderia; pseudomallei group
-37.0,0.16470588235294117,YP_009201449.1,Vibrio phage ValKK3,tail fiber,Vibrio,"Viruses; dsDNA viruses, no RNA stage; Caudovirales; Myoviridae; Tevenvirinae; Schizot4virus; Vibrio virus ValKK3",Bacteria; Proteobacteria; Gammaproteobacteria; Vibrionales; Vibrionaceae
7.0,0.23255813953488372,YP_009196676.1,Klebsiella phage Sushi,tail fiber,Klebsiella pneumoniae,"Viruses; dsDNA viruses, no RNA stage; Caudovirales; Siphoviridae; Tunavirinae; Kp36virus; Klebsiella virus Sushi",Bacteria; Proteobacteria; Gammaproteobacteria; Enterobacterales; Enterobacteriaceae; Klebsiella
